frame,timestamp,target_id,pred_x,pred_y,radius,confidence,lost_frames,predicted_only,gt_x,gt_y,error_px,detection_count,track_count,hypothesis_count,recovery_active,collective_promoted,collective_dx,collective_dy,collective_rotation_deg
422,14.066148,26,440.403,244.917,34.443,1.0000,0,0,431.247,257.263,15.370,39,71,1,0,0,4.4922,0.2869,-1.1996
423,14.099480,26,443.024,243.293,32.539,1.0000,0,0,431.381,256.268,17.433,34,71,1,0,0,4.2220,0.2519,-0.1948
424,14.132812,26,448.258,243.850,35.632,1.0000,0,0,431.257,255.145,20.411,43,71,1,0,0,4.1206,0.3715,-2.5362
425,14.166144,26,453.633,243.147,37.841,1.0000,0,0,430.937,253.402,24.905,42,71,1,0,0,4.4647,0.2629,-0.4708
426,14.199476,26,456.807,242.956,38.018,0.8353,1,1,432.861,250.202,25.018,38,71,1,0,0,4.2676,0.1222,-1.2767
427,14.232808,26,461.641,240.598,39.827,1.0000,0,0,440.253,247.679,22.530,42,71,1,0,0,5.0551,-0.0731,0.3889
428,14.266140,26,465.908,238.035,40.885,1.0000,0,0,449.110,243.032,17.526,35,71,1,0,0,4.4061,-0.2921,-1.2614
429,14.299472,26,469.336,237.419,41.209,0.8353,1,1,454.360,239.480,15.117,40,72,1,0,0,4.3195,-0.1423,-4.0832
430,14.332804,26,467.608,232.157,41.832,1.0000,0,0,459.224,236.670,9.521,37,72,1,0,0,4.2595,-0.3598,1.8377
431,14.366137,26,466.870,228.554,42.202,1.0000,0,0,465.652,232.787,4.405,41,72,1,0,0,4.8220,-0.5570,1.0401
432,14.399469,26,465.142,230.964,42.442,1.0000,0,0,472.270,228.895,7.422,36,72,1,0,0,4.6474,-0.8485,0.2221
433,14.432801,26,465.019,231.783,42.600,1.0000,0,0,477.250,226.405,13.361,42,73,1,0,0,4.5410,-0.7594,0.2197
434,14.466133,26,467.950,228.521,42.700,1.0000,0,0,479.021,222.430,12.636,38,73,1,0,0,4.5483,-1.0287,-0.1934
435,14.499465,26,472.266,225.707,42.760,1.0000,0,0,479.744,218.618,10.305,25,72,1,0,0,4.4193,-1.1494,0.1188
436,14.532797,26,475.042,223.133,42.791,1.0000,0,0,479.744,216.752,7.926,29,72,1,0,0,5.0224,-0.9071,-1.0072
437,14.566129,26,478.435,222.593,42.800,1.0000,0,0,481.269,213.756,9.280,35,70,1,0,0,4.5434,-1.2150,0.9536
438,14.599461,26,481.485,221.599,42.796,1.0000,0,0,481.783,209.235,12.368,36,69,1,0,0,4.1556,-1.2414,-1.4584
439,14.632793,26,483.975,220.370,43.043,0.8353,1,1,482.763,205.459,14.961,33,70,1,0,0,4.4744,-1.3103,1.9408
440,14.666125,26,485.092,223.408,42.872,1.0000,0,0,484.686,203.838,19.574,33,68,1,0,0,3.8988,-1.1724,-1.5546
441,14.699458,26,487.446,222.600,43.094,0.8353,1,1,485.161,201.704,21.020,33,67,1,0,0,3.6273,-1.4090,-0.3621
442,14.732790,26,489.296,220.020,42.854,1.0000,0,0,485.274,200.679,19.755,39,66,1,0,0,4.0594,-1.5350,0.4434
443,14.766122,26,491.602,219.043,43.048,0.8353,1,1,486.334,199.847,19.906,34,67,1,0,0,3.6111,-1.6557,-0.3207
444,14.799454,26,482.945,217.340,42.801,1.0000,0,0,487.260,199.769,18.093,30,66,1,0,0,3.7634,-1.5417,-0.1583
